id_venda,id_meio_pgto,vl_pgto
2434251042                              ,1000,29.99
2434291256                              ,8000,89.97
2434297114                              ,3111,99.99
2434306371                              ,8000,109.97
2434308165                              ,3003,279.94
2434314059                              ,1000,22.99
2435325238                              ,8000,29.99
2435347826                              ,8000,29.99
2435356648                              ,8000,161.97
2435361107                              ,3113,449.93
2435365264                              ,1000,179.96
2435377188                              ,3113,99.99
2435381951                              ,3111,699.000369
2435381951                              ,8000,199.999631
2435391774                              ,3003,174.94
2435400687                              ,1000,179.97
2435408749                              ,1000,79.99
2435414063                              ,3003,49.99
2435427074                              ,8000,89.98
2435431231                              ,8000,199.96
2435441537                              ,3113,109.98
2435469062                              ,3003,139.98
2435469088                              ,3003,99.99
2435469548                              ,4050,59.98003
2435469548                              ,8000,10.00997
2435480504                              ,1000,79.98
2435482308                              ,3005,369.94
2435485539                              ,3003,29.99
2435488520                              ,3003,179.98
2435504149                              ,8000,31.99
2435529037                              ,4050,99.99
2435546249                              ,3003,69.99
2435548119                              ,3003,39.99
2435551283                              ,3005,99.98
2435587074                              ,1000,349.96
2435588999                              ,3003,39.98
2435592063                              ,3113,41.99
2435626258                              ,1000,105.97
2435629538                              ,1000,30.000023
2435629538                              ,3005,44.979977
2435633692                              ,3005,63.98
2435718469                              ,8000,59.99
2435720463                              ,3005,19.989996
2435720463                              ,8000,77.980004
2435729101                              ,3110,99.99
2435729153                              ,1000,109.98
2436344144                              ,3003,221.879887
2436344144                              ,3113,300.000113
2436344545                              ,3005,0.0
2436344545                              ,3113,0.0
2437324428                              ,3003,197.98
2437326545                              ,8000,69.99
2437329597                              ,1000,14.990002
2437329597                              ,4050,34.989998
2437330724                              ,4040,99.999967
2437330724                              ,8000,5.970033
2437331146                              ,1000,40.000016
2437331146                              ,4050,139.979984
2437347487                              ,8000,170.97
2437347714                              ,1000,99.999927
2437347714                              ,3003,49.960073
2437394559                              ,3003,179.96
2437403888                              ,3001,109.98
2437421422                              ,3100,59.98
2437422688                              ,4050,29.98998
2437422688                              ,8000,89.98002
2437424866                              ,4050,139.979934
2437424866                              ,8000,10.000066
2437435199                              ,3003,69.99
2437460882                              ,8000,109.97
2437464115                              ,4050,89.98
2437469211                              ,8000,39.99
2437477218                              ,3005,419.94
2437489746                              ,3003,129.98
2437516358                              ,8000,95.98
2437569251                              ,3110,209.97
2437602405                              ,8000,99.99
2437604563                              ,3100,289.96
2437606642                              ,3003,139.98
2437607603                              ,3110,109.96
2437618050                              ,8000,69.98
2437631169                              ,3005,39.99
2437676275                              ,3003,29.99
2437685149                              ,8000,99.98
2437697135                              ,3111,29.99
2438330045                              ,8000,89.98
2438336058                              ,3005,39.98
2438342859                              ,8000,149.96
2438344425                              ,8000,49.99
2438347911                              ,3001,49.99
2438349155                              ,1000,40.000015
2438349155                              ,4050,49.989985
2438371575                              ,3005,389.92
2438383019                              ,3003,295.94
2438386289                              ,3003,225.949873
2438386289                              ,3110,222.960127
2438386400                              ,8000,115.97
2438386639                              ,3003,629.9
2438387365                              ,3005,179.89
2438392403                              ,3005,189.97
2438411124                              ,4040,28.999904
2438411124                              ,8000,210.980096
2438436148                              ,3113,119.99
2438439357                              ,3005,469.91
2439326569                              ,1000,69.98
2439337773                              ,4050,69.99
2439338949                              ,3113,289.99
2439342669                              ,3110,65.98
2439342689                              ,3110,899.0
2439342747                              ,3110,519.96
2439364971                              ,4050,99.99
2439391774                              ,3110,224.94
2439394499                              ,1000,2.96998
2439394499                              ,4050,89.99002
2439422607                              ,8000,159.98
2439423337                              ,8000,45.98
2439426711                              ,3005,149.99
2439428065                              ,4040,17.000011
2439428065                              ,8000,12.989989
2439432531                              ,4040,19.999951
2439432531                              ,8000,295.950049
2439442318                              ,3005,89.97
2439444943                              ,4050,29.99
2439451153                              ,3003,109.979988
2439451153                              ,4050,99.980012
2439466730                              ,3005,899.0
2439470800                              ,8000,49.98
2439475482                              ,3003,99.97
2439482003                              ,1000,49.979982
